amtrak	amt	arak
bangel	baaed	langel
bash	baa	cash
beefaroni	beef	lazzaroni
belieber	belie	beerbibber
bit	bact	ait
blaxican	blab	axin
bollywood	bolly	agalawood
bootylicious	booty	cilicious
botox	bot	cox
brainiac	brain	ambrosiac
bromance	broma	abaisance
brunch	babiche	crunch
buppie	baalite	yuppie
californication	california	acetification
cama	caam	dama
camcorder	camel	accorder
cheeseburger	cheesy	chester
chillax	chil	curtlax
clash	caam	blash
clink	cabin	blink
clois	cabas	alois
cosplay	cos	airplay
crackberry	crack	aleberry
cranapple	cran	bakeapple
crangrape	crang	antirape
crooklyn	crook	brooklyn
crunk	cack	drunk
daycation	dayak	abdication
dentro	dado	centro
dickhole	dick	absinthole
dout	dabuh	bout
dumpster	dumps	abrupter
ebonics	ebon	aerobics
escalator	esca	ablator
fantabulous	fantad	acetabulous
fayettenam	fayed	flotsam
fedex	fed	dex
femcee	feta	fee
fivehead	five	addlehead
flunk	fack	blunk
fooligan	fool	brannigan
frappuccino	frapp	cappuccino
frohawk	fro	doorhawk
fruitopia	fruit	ambiopia
fucktard	fuck	bustard
fugly	fuddle	agly
funemployment	fatiloquent	embodiment
futch	face	butch
gaydar	gay	adar
ginormous	ginks	abnormous
glambert	glam	adelbert
governator	govern	abator
gravatar	grav	gujar
greige	grabbed	beige
gunk	gaine	bunk
hangry	habanera	angry
harmony	harm	acrimony
henny	hacky	benny
herstory	hers	abjuratory
hijack	hijackers	back
hir	haar	air
hollyweird	holly	wanweird
homeboy	home	bellboy
hotlanta	hot	tsantsa
hse	habe	ase
hunty	hacky	aunty
infomercial	inform	anticommercial
irregardless	irreg	beardless
ital	italian	aal
itouch	italics	bouch
jav	jaap	cav
jedward	jed	adward
jelena	jabalina	helena
jewfro	jew	afro
jorts	jabots	borts
kendra	kabar	dendra
limon	laban	simon
longrange	long	coarrange
macbook	mac	cabook
macon	maad	bacon
mahoosive	mahoe	applosive
malaysia	malay	abasia
manny	maad	canny
manwich	man	angwich
mar	maad	bar
medicaid	medic	apaid
meggings	meg	baggings
melatonin	mela	digitonin
meld	mabela	beld
merm	maars	berm
metaverse	meta	anniverse
metroplex	metro	anticomplex
microsoft	micro	semisoft
mimsy	macs	limsy
minja	maba	jinja
modem	moaned	idem
moped	maad	coped
motel	mabel	botel
motown	motioning	bown
mozilla	moze	abilla
muppet	mubarat	appet
naco	naa	maco
neither	nei	aether
netbook	net	bluebook
newbie	newberyite	abbie
nizzle	nabal	fizzle
nor	nair	aor
overstand	overs	againstand
parkway	park	airway
payola	payoff	ala
planeteer	plane	asteer
pleather	pleat	aether
podcast	pod	broadcast
poofy	pacay	goofy
popsicle	pops	bursicle
prettiful	pret	beautiful
prissy	praeses	cissy
purrfect	purr	affect
screamo	scr	bergamo
sexcapade	sexed	escapade
sexpert	sex	compert
sext	sabot	next
sexting	sex	abating
shag	shaban	bag
shamwow	sham	chaw
shamy	shaban	gamy
shart	saad	chart
shero	shacko	aero
shim	sabia	whim
shortrange	short	arrange
shwasted	shwa	accosted
sial	saa	dial
sitcom	sitch	tom
skank	skalds	bank
skeezy	skaithy	heezy
skort	skeery	bort
skunk	skance	bunk
slithy	slackly	lithy
slore	sabe	blore
smash	smacks	cash
smexy	smally	kexy
smush	smashed	bush
snarf	snabby	barf
snark	saad	inark
snazzy	snabbie	jazzy
soca	saa	boca
sony	sabby	bony
spanglish	spang	abolish
spork	spaework	cork
spunk	spandy	bunk
stan	stable	ban
steez	stacey	geez
sunlight	sun	aeolight
telethon	tele	aethon
teme	tabel	beme
tenderoni	tend	ciceroni
texting	text	abating
thon	tabog	chon
travelocity	travel	atrocity
tribeca	trib	areca
tween	twains	been
tweep	tabel	sweep
tweeple	twee	ample
tweetheart	tweet	adsheart
tweetup	twee	getup
twerk	twanky	berk
twitterati	twit	literati
vajazzle	val	undazzle
verizon	veri	borazon
vitamin	vita	admin
vlog	vacoa	blog
wanksta	wank	agonista
webinar	web	acinar
webisode	web	episode
whatsapp	whats	gasp
wigger	waag	bigger
wikipedia	wiki	cirripedia
workaholic	work	noncholeric
wuss	waasi	buss
wussy	waasi	bussy
yed	yad	bed
yello	yaboo	bello
===============
For first component predication:
Percentage of LD(Levenshtein Distance) = 0: 0.17486338797814208
Percentage of LD(Levenshtein Distance) = 1: 0.08196721311475409
Percentage of LD(Levenshtein Distance) = 2: 0.10382513661202186
Percentage of LD(Levenshtein Distance) > 2: 0.639344262295082
For second component predication:
Percentage of LD(Levenshtein Distance) = 0: 0.08743169398907104
Percentage of LD(Levenshtein Distance) = 1: 0.22950819672131148
Percentage of LD(Levenshtein Distance) = 2: 0.2185792349726776
Percentage of LD(Levenshtein Distance) > 2: 0.4644808743169399
